complaint_id,complaint_officer_number,officer_days_on_force_at_incident,allegation_record_identity,fado_type,allegation,victim_age_range_at_incident,victim_gender,victim_race_legacy,investigator_recommendation,ccrb_allegation_disposition,tax_id,officer_rank_at_incident,officer_command_at_incident,victim_race_ethnicity,nypd_allegation_disposition,officer_years_on_force_at_incident
202003253,1,209,1105210,Force,Physical force,20 < Age <= 24,Male/Man,Black,Unfounded,Unfounded,968296.0,Police Officer,REC TNG,Unknown,Unknown,0.57
202507987,1,0,1327917,Abuse of Authority,Refusal to provide name,44 < Age <= 49,Male/Man,Unknown,SRAD Closure,SRAD Closure,0,Unknown,Unknown,Decline to Answer (NA),Unknown,0.0
200500292,1,0,382842,Abuse of Authority,Threat of arrest,24 < Age <= 29,Female/Woman,White,Complaint Withdrawn,Complaint Withdrawn,0,Unknown,Unknown,Unknown,Unknown,0.0
200814346,1,2914,592538,Force,Physical force,0,Female/Woman,Unknown,Alleged Victim Uncooperative,Alleged Victim Uncooperative,927605.0,Police Officer,TB DT30,Unknown,Unknown,7.98
201303528,3,2661,867509,Abuse of Authority,Threat of arrest,20 < Age <= 24,Male/Man,Hispanic,Unsubstantiated,Substantiated (Charges),939924.0,Police Officer,075 PCT,Unknown,"APU Closed: Retained, with discipline",7.29
200308187,1,0,339628,Force,Physical force,0,Female/Woman,Unknown,Complainant Uncooperative,Complainant Uncooperative,0,Unknown,Unknown,Unknown,Unknown,0.0
201704054,1,0,996457,Abuse of Authority,Refusal to provide name/shield number,64 < Age <= 69,Male/Man,White,Officer(s) Unidentified,Officer(s) Unidentified,0,Unknown,Unknown,Unknown,Unknown,0.0
201505439,3,716,924172,Abuse of Authority,Stop,34 < Age <= 39,Male/Man,Black,Exonerated,Exonerated,954903.0,Police Officer,PBBS,Unknown,Unknown,1.96
202202419,1,4295,1174836,Abuse of Authority,Other,20 < Age <= 24,Unknown,Unknown,Complainant Uncooperative,Complainant Uncooperative,949273.0,Police Officer,HWY 03,Unknown,Unknown,11.77
202207257,5,6128,1239783,Abuse of Authority,Other,39 < Age <= 44,Male/Man,Unknown,Substantiated,Substantiated (Command Discipline B),940094.0,Police Officer,042 PCT,Black and/or African American (R),APU Dismissed,16.79
201308805,1,0,846929,Force,Physical force,69 < Age <= 74,Female/Woman,White,Exonerated,Exonerated,0,Unknown,017 PCT,Unknown,Unknown,0.0
200718075,1,1625,576349,Abuse of Authority,Refusal to provide name/shield number,29 < Age <= 34,Male/Man,Black,Unfounded,Unfounded,932364.0,Police Officer,NARCBBN,Unknown,Unknown,4.45
202202332,1,440,1176230,Abuse of Authority,Refusal to process civilian complaint,29 < Age <= 34,Male/Man,White,Substantiated,Substantiated (Command Discipline A),970814.0,Police Officer,052 PCT,Unknown,Command Discipline - A,1.21
